"","SERIALNO","PUMA","WGTP","NP","VEH","FINCP"
450,592941,2100,11,2,2,57800
451,595888,2100,153,1,2,45000
452,596688,2100,0,1,0,0
453,598304,2100,0,1,0,0
454,600313,2100,0,1,0,0
455,600931,2100,105,2,2,23000
456,603369,2100,20,2,0,140000
457,604944,2100,153,1,1,276000
458,609413,2100,145,1,0,38000
459,618400,2100,68,1,2,84200
460,618909,2100,14,1,4,51000
461,619840,2100,28,4,1,29000
462,621427,2100,0,1,0,0
463,621633,2100,91,2,0,36200
464,622615,2100,66,2,2,99100
465,624566,2100,14,1,1,23000
466,625241,2100,29,3,1,40000
467,625421,2100,158,3,2,55900
468,626355,2100,74,2,2,73500
469,627207,2100,67,3,1,62000
470,627889,2100,341,3,1,30000
471,627975,2100,28,2,1,37700
472,630270,2100,89,3,2,108000
473,630840,2100,12,2,2,81850
474,633382,2100,0,1,0,0
475,633496,2100,0,1,0,0
476,633513,2100,38,2,2,62000
477,634528,2100,0,1,0,0
478,634583,2100,123,2,1,64900
479,636207,2100,11,3,1,10000
480,637181,2100,0,1,0,0
481,638899,2100,95,3,1,0
482,641682,2100,214,1,1,10000
483,641715,2100,0,1,0,0
484,643356,2100,83,1,1,27000
485,643526,2100,127,2,2,25000
486,645776,2100,78,3,3,150920
487,646614,2100,0,1,0,0
488,647477,2100,74,2,1,49300
489,649910,2100,131,1,1,85000
490,650930,2100,55,2,2,57800
491,651958,2100,121,1,2,75250
492,654166,2100,12,4,2,46000
493,654382,2100,72,1,0,18500
494,655378,2100,149,3,4,51200
495,656655,2100,58,3,2,27000
496,659011,2100,11,1,1,24000
497,662156,2100,67,1,1,24500
498,662544,2100,19,2,2,47500
499,666726,2100,0,1,0,0
500,668267,2100,48,4,0,5600
501,668765,2100,50,2,3,120000
502,672208,2100,111,3,2,314000
503,673884,2100,0,1,0,0
504,673885,2100,252,1,0,14400
505,674277,2100,82,2,1,20000
506,678313,2100,66,2,2,22800
507,680269,2100,101,1,1,50400
508,681911,2100,13,1,1,15100
509,684831,2100,27,2,2,44000
510,685123,2100,23,2,2,46600
511,685182,2100,94,2,2,72160
512,686447,2100,65,1,1,99900
513,686596,2100,187,1,1,128100
514,691151,2100,68,1,1,72000
515,693789,2100,209,2,2,31000
516,696823,2100,20,5,2,88200
517,697123,2100,16,4,3,72000
518,697589,2100,0,1,0,0
519,698338,2100,27,2,2,49800
520,698361,2100,0,1,0,0
521,700425,2100,109,1,1,50000
522,702984,2100,356,3,2,55000
523,704087,2100,24,2,2,68700
524,708702,2100,0,1,0,0
525,711276,2100,148,1,0,5000
526,712804,2100,117,1,1,2400
527,716494,2100,252,1,1,25000
528,717053,2100,224,4,1,33300
529,719123,2100,32,3,3,98000
530,720050,2100,168,5,3,53000
531,720392,2100,143,1,1,456780
532,720490,2100,61,1,1,54000
533,720750,2100,131,2,2,69500
534,721595,2100,0,1,0,0
535,725266,2100,0,1,0,0
536,726104,2100,83,1,1,2500
537,727108,2100,69,1,0,21600
538,727290,2100,0,1,0,0
539,728031,2100,121,2,1,3700
540,729647,2100,0,1,0,0
541,730656,2100,114,2,2,172680
542,730745,2100,115,1,1,26100
543,730782,2100,347,1,1,42000
544,731820,2100,86,3,1,19000
545,733948,2100,18,0,0,0
546,734586,2100,140,2,2,106734
547,737848,2100,235,5,1,5100
548,739654,2100,92,2,1,40000
549,741507,2100,120,2,2,62000
550,743406,2100,0,1,0,0
551,746534,2100,39,1,0,1200
552,746595,2100,11,1,2,64100
553,747542,2100,117,1,2,120000
554,748056,2100,127,3,2,57000
555,748880,2100,120,2,2,84000
556,750449,2100,157,2,2,102000
557,750967,2100,90,4,2,204500
558,754772,2100,470,1,0,12000
559,755309,2100,79,4,3,68700
560,756063,2100,91,2,2,70840
561,758359,2100,65,1,1,19350
562,760827,2100,157,1,0,12800
563,762839,2100,303,0,0,0
564,763699,2100,142,1,1,27500
565,766382,2100,65,1,1,30000
566,768559,2100,0,1,0,0
567,770229,2100,160,4,1,64000
568,770249,2100,40,1,0,90
569,771448,2100,14,2,1,33400
570,773286,2100,452,5,1,5000
571,775278,2100,144,2,2,18400
572,776577,2100,100,1,1,20900
573,778169,2100,160,2,1,15000
574,781597,2100,14,2,2,67800
575,784450,2100,145,1,1,44000
576,784598,2100,239,1,1,7000
577,789004,2100,134,2,2,12201
578,789806,2100,0,1,0,0
579,794133,2100,236,4,1,15000
580,794770,2100,185,4,2,66000
581,797485,2100,0,1,0,0
582,798822,2100,74,1,1,99000
583,799593,2100,21,4,2,13400
584,800574,2100,78,5,2,43000
585,803235,2100,71,2,1,70200
586,804295,2100,162,1,1,13600
587,804567,2100,381,2,2,80000
588,806192,2100,0,1,0,0
589,807353,2100,0,1,0,0
590,809094,2100,93,2,2,265600
591,812245,2100,359,1,1,32000
592,813475,2100,23,2,2,65000
593,814766,2100,0,1,0,0
594,816789,2100,0,1,0,0
595,822238,2100,450,4,2,23000
596,823627,2100,0,1,0,0
597,827113,2100,341,4,3,30000
598,828896,2100,0,1,0,0
599,828909,2100,39,1,1,72000
600,829252,2100,128,1,1,30000
601,832621,2100,0,1,0,0
602,835234,2100,83,2,2,47400
603,836331,2100,25,2,4,122400
604,837950,2100,0,1,0,0
605,838073,2100,93,2,2,456000
606,839390,2100,0,1,0,0
607,839936,2100,0,1,0,0
608,840625,2100,114,2,2,168800
609,840977,2100,32,1,1,30000
610,841444,2100,103,2,2,44870
611,841861,2100,17,1,1,13000
612,843122,2100,146,2,1,63060
613,844751,2100,78,2,2,457250
614,846895,2100,85,3,2,67800
615,846959,2100,145,2,2,61000
616,847863,2100,0,1,0,0
617,850080,2100,90,2,0,82510
618,850726,2100,10,4,2,105000
619,851026,2100,0,1,0,0
620,851626,2100,231,0,0,0
621,852083,2100,110,2,1,55200
622,852231,2100,130,1,1,38000
623,852259,2100,130,2,2,63000
624,852452,2100,19,4,1,31400
625,856109,2100,384,3,0,32300
626,858128,2100,29,4,3,89000
627,858583,2100,129,5,2,55500
628,861847,2100,16,1,0,19200
629,862096,2100,0,1,0,0
630,863536,2100,104,5,2,41800
631,865203,2100,0,1,0,0
632,866386,2100,10,2,2,26200
633,869569,2100,21,2,1,34600
634,869885,2100,277,2,0,6200
635,870701,2100,247,2,1,18000
636,874618,2100,0,1,0,0
637,876498,2100,123,2,2,43100
638,876846,2100,149,2,0,24000
639,877554,2100,0,1,0,0
640,878948,2100,15,1,1,34500
641,879306,2100,120,4,1,47000
642,879376,2100,212,0,0,0
643,885039,2100,0,1,0,0
644,885590,2100,76,1,1,40000
645,886256,2100,146,4,2,0
646,887499,2100,148,2,2,90200
647,887886,2100,14,1,1,42300
648,888130,2100,13,1,1,0
649,891921,2100,466,3,2,126500
650,892762,2100,67,1,1,65000
651,895237,2100,250,1,0,14400
652,896093,2100,32,2,2,72000
653,896633,2100,18,1,1,14800
654,898596,2100,212,3,1,62000
655,900845,2100,365,0,0,0
656,904017,2100,14,2,2,41000
657,904986,2100,78,5,2,60000
658,906060,2100,114,2,2,300
659,908498,2100,121,0,0,0
660,909506,2100,71,2,2,75050
661,910092,2100,36,2,2,243000
662,914751,2100,0,1,0,0
663,914859,2100,64,2,2,52000
664,915641,2100,0,1,0,0
665,915981,2100,222,0,0,0
666,916686,2100,48,2,1,23600
667,916862,2100,383,0,0,0
668,916993,2100,92,4,2,1e+05
669,917732,2100,0,1,0,0
670,918819,2100,45,3,3,65500
671,919400,2100,0,1,0,0
672,923339,2100,33,1,1,65000
673,924806,2100,19,5,2,71000
674,925049,2100,217,2,1,125000
675,925469,2100,84,1,1,34000
676,925893,2100,90,4,2,80000
677,926244,2100,68,2,1,110200
678,928949,2100,75,4,3,62300
679,929605,2100,69,2,2,10200
680,930020,2100,105,2,2,244000
681,930617,2100,146,6,4,93330
682,932199,2100,359,1,0,8500
683,933290,2100,0,1,0,0
684,936386,2100,42,2,1,42400
685,939228,2100,36,0,0,0
686,940440,2100,177,3,1,163000
687,940468,2100,0,1,0,0
688,940885,2100,11,1,0,18800
689,942180,2100,77,2,1,108100
690,945574,2100,39,2,0,31000
691,946557,2100,135,2,2,46400
692,947568,2100,84,1,1,31000
693,947962,2100,0,1,0,0
694,950933,2100,112,2,2,66000
695,954959,2100,0,1,0,0
696,955321,2100,0,1,0,0
697,956378,2100,76,4,2,77050
698,956652,2100,149,2,2,32100
699,956741,2100,14,3,2,1e+05
700,957171,2100,135,2,2,22600
701,958014,2100,0,1,0,0
702,959972,2100,0,1,0,0
703,961902,2100,0,1,0,0
704,961955,2100,20,3,3,102800
705,962358,2100,268,2,2,363300
706,965638,2100,33,2,3,73460
707,967255,2100,0,1,0,0
708,968700,2100,75,2,2,186400
709,969082,2100,101,2,1,70000
710,969788,2100,125,2,3,217000
711,969969,2100,0,1,0,0
712,971867,2100,14,4,2,87000
713,972076,2100,123,2,2,84000
714,972306,2100,70,3,3,96000
715,972368,2100,0,1,0,0
716,972649,2100,38,0,0,0
717,974467,2100,75,1,1,35000
718,975733,2100,59,2,2,76400
719,976835,2100,24,1,0,260
720,977733,2100,17,2,2,43200
721,978077,2100,107,2,2,46400
722,979292,2100,54,2,1,42000
723,981309,2100,16,3,2,90000
724,981756,2100,16,1,2,52060
725,983586,2100,0,1,0,0
726,983648,2100,0,1,0,0
727,984989,2100,100,2,2,36000
728,986487,2100,69,2,1,20000
729,986811,2100,25,2,2,38600
730,988509,2100,0,1,0,0
731,989122,2100,73,2,4,56000
732,989636,2100,108,2,2,30000
733,990026,2100,90,1,1,36200
734,991060,2100,90,2,2,165000
735,991799,2100,121,2,2,99000
736,995030,2100,0,1,0,0
737,998283,2100,125,2,2,69000
738,1002021,2100,0,1,0,0
739,1002949,2100,0,1,0,0
740,1003596,2100,0,1,0,0
741,1004546,2100,11,1,1,47400
742,1004814,2100,66,2,2,77000
743,1007500,2100,387,0,0,0
744,1008341,2100,0,1,0,0
745,1008719,2100,0,1,0,0
746,1009193,2100,0,1,0,0
747,1009297,2100,62,5,3,71204
748,1010897,2100,83,2,2,66900
749,1014010,2100,0,1,0,0
750,1015866,2100,25,5,3,158600
751,1016758,2100,109,2,1,35100
752,1017869,2100,24,1,1,62000
753,1018952,2100,28,3,1,10000
754,1020492,2100,34,1,0,12000
755,1020582,2100,0,1,0,0
756,1026456,2100,366,2,3,67500
757,1027612,2100,0,1,0,0
758,1027832,2100,13,4,1,93600
759,1029349,2100,0,1,0,0
760,1029521,2100,32,1,1,26200
761,1031031,2100,25,1,1,10500
762,1031099,2100,16,2,3,97400
763,1032250,2100,24,2,2,54300
764,1034059,2100,0,1,0,0
765,1034471,2100,21,4,3,168200
766,1034496,2100,298,3,1,103320
767,1035182,2100,0,1,0,0
768,1035336,2100,0,1,0,0
769,1036672,2100,101,1,1,18500
770,1036690,2100,127,3,2,29500
771,1039268,2100,16,2,2,41000
772,1039541,2100,56,2,0,82000
773,1039881,2100,178,2,2,67000
774,1042132,2100,129,2,2,50000
775,1042717,2100,16,1,1,25000
776,1042834,2100,0,1,0,0
777,1043513,2100,174,2,2,10000
778,1043633,2100,253,3,2,35000
779,1045036,2100,42,1,1,28800
780,1050446,2100,73,1,1,14500
781,1051962,2100,14,2,2,48360
782,1052400,2100,16,2,3,126800
783,1053028,2100,0,1,0,0
784,1055351,2100,139,1,1,5000
785,1055621,2100,26,1,1,24000
786,1057416,2100,78,2,4,352000
787,1058006,2100,157,1,1,2900
788,1061653,2100,121,2,1,69000
789,1062887,2100,0,1,0,0
790,1065543,2100,17,2,4,54900
791,1066391,2100,110,3,2,83000
792,1066794,2100,0,1,0,0
793,1070834,2100,0,1,0,0
794,1071733,2100,117,1,1,65000
795,1071817,2100,136,3,2,143400
796,1074104,2100,77,2,0,20000
797,1074155,2100,60,1,1,12500
798,1075818,2100,0,1,0,0
799,1077378,2100,0,1,0,0
800,1077615,2100,82,3,2,37000
801,1078219,2100,17,1,1,75000
802,1079181,2100,139,4,2,52401
803,1079871,2100,152,2,1,59200
804,1081294,2100,0,1,0,0
805,1084836,2100,78,1,1,10030
806,1084985,2100,44,3,1,90050
807,1086117,2100,0,1,0,0
808,1087359,2100,105,3,0,25000
809,1092131,2100,11,2,2,37510
810,1092578,2100,81,1,1,20750
811,1094219,2100,14,2,2,52300
812,1094990,2100,44,1,4,57600
813,1095319,2100,23,1,1,26500
814,1097280,2100,21,2,2,142000
815,1101204,2100,159,2,1,26000
816,1107206,2100,100,3,1,63000
817,1107671,2100,150,2,2,87100
818,1108026,2100,38,1,0,2000
819,1109579,2100,25,2,3,102400
820,1112346,2100,59,2,1,48720
821,1114112,2100,15,2,2,79000
822,1114848,2100,41,2,3,21000
823,1116983,2100,0,1,0,0
824,1117121,2100,0,1,0,0
825,1117198,2100,40,1,1,15860
826,1117367,2100,0,1,0,0
