,tract,serial_number,repeat_index,age,sex,individual_income
88,10300,2010000003705,0,18-34,M,0-20000
89,10400,2010000003705,0,18-34,M,0-20000
90,10500,2010000003705,0,18-34,M,<=0
91,10601,2010000003705,0,18-34,M,<=0
92,10603,2010000003705,0,18-34,M,0-20000
93,10603,2010000003705,1,18-34,M,40000-80000
94,10604,2010000003705,0,18-34,M,0-20000
95,10700,2010000003705,0,18-34,M,40000-80000
96,10700,2010000003705,1,18-34,M,0-20000
97,10800,2010000003705,0,18-34,M,0-20000
98,10900,2010000003705,0,18-34,M,0-20000
99,10900,2010000003705,1,18-34,M,0-20000
100,11000,2010000003705,0,18-34,M,<=0
101,11100,2010000003705,0,18-34,M,0-20000
102,200,2010000003705,0,18-34,M,0-20000
103,301,2010000003705,0,18-34,M,80000-100000
104,302,2010000003705,0,18-34,M,20000-40000
105,401,2010000003705,0,18-34,M,0-20000
106,402,2010000003705,0,18-34,M,0-20000
107,500,2010000003705,0,18-34,M,0-20000
108,700,2010000003705,0,18-34,M,80000-100000
109,800,2010000003705,0,18-34,M,0-20000
110,901,2010000003705,0,18-34,M,0-20000
111,902,2010000003705,0,18-34,M,0-20000
112,902,2010000003705,1,18-34,M,0-20000
113,1000,2010000003705,0,18-34,M,0-20000
114,1100,2010000003705,0,18-34,M,20000-40000
115,1201,2010000003705,0,18-34,M,80000-100000
116,1201,2010000003705,1,18-34,M,0-20000
117,1203,2010000003705,0,18-34,M,0-20000
118,1204,2010000003705,0,18-34,M,0-20000
119,1205,2010000003705,0,18-34,M,0-20000
120,1205,2010000003705,1,18-34,M,20000-40000
121,1206,2010000003705,0,18-34,M,40000-80000
122,1301,2010000003705,0,18-34,M,0-20000
123,1301,2010000003705,1,18-34,M,40000-80000
124,1302,2010000003705,0,18-34,M,<=0
125,1400,2010000003705,0,18-34,M,0-20000
126,5300,2010000003705,0,18-34,M,0-20000
127,5401,2010000003705,0,18-34,M,0-20000
128,5402,2010000003705,0,18-34,M,20000-40000
129,5500,2010000003705,0,18-34,M,40000-80000
130,5600,2010000003705,0,18-34,M,0-20000
131,5600,2010000003705,1,18-34,M,0-20000
132,5701,2010000003705,0,18-34,M,<=0
133,5702,2010000003705,0,18-34,M,0-20000
134,5800,2010000003705,0,18-34,M,0-20000
135,5900,2010000003705,0,18-34,M,<=0
136,6000,2010000003705,0,18-34,M,<=0
137,10100,2010000003705,0,18-34,M,0-20000
138,10204,2010000003705,0,18-34,M,0-20000
139,10300,2010000003705,0,18-34,M,0-20000
140,10400,2010000003705,0,18-34,M,<=0
141,10500,2010000003705,0,18-34,M,0-20000
142,10601,2010000003705,0,18-34,M,0-20000
143,10603,2010000003705,0,18-34,M,<=0
144,10603,2010000003705,1,18-34,M,0-20000
145,10604,2010000003705,0,18-34,M,0-20000
146,10700,2010000003705,0,18-34,M,0-20000
147,10700,2010000003705,1,18-34,M,0-20000
148,10800,2010000003705,0,18-34,M,0-20000
149,10900,2010000003705,0,18-34,M,0-20000
150,10900,2010000003705,1,18-34,M,0-20000
151,11000,2010000003705,0,18-34,M,0-20000
152,11100,2010000003705,0,18-34,M,<=0
153,200,2010000003705,0,18-34,M,0-20000
154,301,2010000003705,0,18-34,M,0-20000
155,302,2010000003705,0,18-34,M,40000-80000
156,401,2010000003705,0,18-34,M,40000-80000
157,402,2010000003705,0,18-34,M,0-20000
158,500,2010000003705,0,18-34,M,0-20000
159,700,2010000003705,0,18-34,M,0-20000
160,800,2010000003705,0,18-34,M,0-20000
161,901,2010000003705,0,18-34,M,0-20000
162,902,2010000003705,0,18-34,M,0-20000
163,902,2010000003705,1,18-34,M,<=0
164,1000,2010000003705,0,18-34,M,0-20000
165,1100,2010000003705,0,18-34,M,0-20000
166,1201,2010000003705,0,18-34,M,0-20000
167,1201,2010000003705,1,18-34,M,20000-40000
168,1203,2010000003705,0,18-34,M,20000-40000
169,1204,2010000003705,0,18-34,M,0-20000
170,1205,2010000003705,0,18-34,M,80000-100000
171,1205,2010000003705,1,18-34,M,<=0
172,1206,2010000003705,0,18-34,M,0-20000
173,1301,2010000003705,0,18-34,M,0-20000
174,1301,2010000003705,1,18-34,M,0-20000
175,1302,2010000003705,0,18-34,M,<=0
176,1400,2010000003705,0,18-34,M,20000-40000
177,5300,2010000003705,0,18-34,M,0-20000
178,5401,2010000003705,0,18-34,M,0-20000
179,5402,2010000003705,0,18-34,M,0-20000
180,5500,2010000003705,0,18-34,M,0-20000
181,5600,2010000003705,0,18-34,M,20000-40000
182,5600,2010000003705,1,18-34,M,0-20000
183,5701,2010000003705,0,18-34,M,0-20000
184,5702,2010000003705,0,18-34,M,0-20000
185,5800,2010000003705,0,18-34,M,0-20000
186,5900,2010000003705,0,18-34,M,0-20000
187,6000,2010000003705,0,18-34,M,<=0
188,10100,2010000003705,0,18-34,M,0-20000
189,10204,2010000003705,0,18-34,M,<=0
190,10300,2010000003705,0,18-34,M,20000-40000
191,10400,2010000003705,0,18-34,M,0-20000
192,10500,2010000003705,0,18-34,M,<=0
193,10601,2010000003705,0,18-34,M,0-20000
194,10603,2010000003705,0,18-34,M,<=0
195,10603,2010000003705,1,18-34,M,<=0
196,10604,2010000003705,0,18-34,M,<=0
197,10700,2010000003705,0,18-34,M,0-20000
198,10700,2010000003705,1,18-34,M,0-20000
199,10800,2010000003705,0,18-34,M,0-20000
200,10900,2010000003705,0,18-34,M,0-20000
201,10900,2010000003705,1,18-34,M,0-20000
202,11000,2010000003705,0,18-34,M,0-20000
203,11100,2010000003705,0,18-34,M,80000-100000
204,200,2010000003705,0,18-34,M,100000+
205,301,2010000003705,0,18-34,M,40000-80000
206,302,2010000003705,0,18-34,M,0-20000
207,401,2010000003705,0,18-34,M,0-20000
208,402,2010000003705,0,18-34,M,0-20000
209,500,2010000003705,0,18-34,M,20000-40000
210,700,2010000003705,0,18-34,M,20000-40000
211,800,2010000003705,0,18-34,M,20000-40000
212,901,2010000003705,0,18-34,M,20000-40000
213,902,2010000003705,0,18-34,M,<=0
214,902,2010000003705,1,18-34,M,0-20000
215,1000,2010000003705,0,18-34,M,<=0
216,1100,2010000003705,0,18-34,M,<=0
217,1201,2010000003705,0,18-34,M,0-20000
218,1201,2010000003705,1,18-34,M,20000-40000
219,1203,2010000003705,0,18-34,M,<=0
220,1204,2010000003705,0,18-34,M,40000-80000
221,1205,2010000003705,0,18-34,M,0-20000
222,1205,2010000003705,1,18-34,M,20000-40000
223,1206,2010000003705,0,18-34,M,0-20000
224,1301,2010000003705,0,18-34,M,<=0
225,1301,2010000003705,1,18-34,M,0-20000
226,1302,2010000003705,0,18-34,M,0-20000
227,1400,2010000003705,0,18-34,M,0-20000
228,5300,2010000003705,0,18-34,M,<=0
229,5401,2010000003705,0,18-34,M,0-20000
230,5402,2010000003705,0,18-34,M,0-20000
231,5500,2010000003705,0,18-34,M,<=0
232,5600,2010000003705,0,18-34,M,0-20000
233,5600,2010000003705,1,18-34,M,<=0
234,5701,2010000003705,0,18-34,M,20000-40000
235,5702,2010000003705,0,18-34,M,20000-40000
236,5800,2010000003705,0,18-34,M,0-20000
237,5900,2010000003705,0,18-34,M,40000-80000
238,6000,2010000003705,0,18-34,M,<=0
239,10100,2010000003705,0,18-34,M,0-20000
240,10204,2010000003705,0,18-34,M,0-20000
241,10300,2010000003705,0,18-34,M,<=0
242,10400,2010000003705,0,18-34,M,0-20000
243,10500,2010000003705,0,18-34,M,20000-40000
244,10601,2010000003705,0,18-34,M,0-20000
245,10603,2010000003705,0,18-34,M,0-20000
246,10603,2010000003705,1,18-34,M,20000-40000
247,10604,2010000003705,0,18-34,M,0-20000
248,10700,2010000003705,0,18-34,M,40000-80000
249,10700,2010000003705,1,18-34,M,<=0
250,10800,2010000003705,0,18-34,M,<=0
251,10900,2010000003705,0,18-34,M,<=0
252,10900,2010000003705,1,18-34,M,0-20000
253,11000,2010000003705,0,18-34,M,0-20000
254,11100,2010000003705,0,18-34,M,20000-40000
255,200,2010000003705,0,18-34,M,40000-80000
256,301,2010000003705,0,18-34,M,40000-80000
257,302,2010000003705,0,18-34,M,<=0
258,401,2010000003705,0,18-34,M,20000-40000
259,402,2010000003705,0,18-34,M,40000-80000
260,500,2010000003705,0,18-34,M,40000-80000
261,700,2010000003705,0,18-34,M,0-20000
262,800,2010000003705,0,18-34,M,0-20000
263,901,2010000003705,0,18-34,M,20000-40000
264,902,2010000003705,0,18-34,M,20000-40000
265,902,2010000003705,1,18-34,M,0-20000
266,1000,2010000003705,0,18-34,M,<=0
267,1100,2010000003705,0,18-34,M,40000-80000
268,1201,2010000003705,0,18-34,M,0-20000
269,1201,2010000003705,1,18-34,M,20000-40000
270,1203,2010000003705,0,18-34,M,0-20000
271,1204,2010000003705,0,18-34,M,40000-80000
272,1205,2010000003705,0,18-34,M,0-20000
273,1205,2010000003705,1,18-34,M,0-20000
274,1206,2010000003705,0,18-34,M,40000-80000
275,1301,2010000003705,0,18-34,M,0-20000
276,1301,2010000003705,1,18-34,M,40000-80000
277,1302,2010000003705,0,18-34,M,0-20000
278,1400,2010000003705,0,18-34,M,0-20000
279,5300,2010000003705,0,18-34,M,20000-40000
280,5401,2010000003705,0,18-34,M,0-20000
281,5402,2010000003705,0,18-34,M,0-20000
282,5500,2010000003705,0,18-34,M,0-20000
283,5600,2010000003705,0,18-34,M,20000-40000
284,5600,2010000003705,1,18-34,M,0-20000
285,5701,2010000003705,0,18-34,M,0-20000
286,5702,2010000003705,0,18-34,M,0-20000
287,5800,2010000003705,0,18-34,M,20000-40000
288,5900,2010000003705,0,18-34,M,0-20000
289,6000,2010000003705,0,18-34,M,0-20000
290,10100,2010000003705,0,18-34,M,<=0
291,10204,2010000003705,0,18-34,M,0-20000
292,10300,2010000003705,0,18-34,M,40000-80000
293,10400,2010000003705,0,18-34,M,<=0
294,10500,2010000003705,0,18-34,M,0-20000
295,10601,2010000003705,0,18-34,M,0-20000
296,10603,2010000003705,0,18-34,M,0-20000
297,10603,2010000003705,1,18-34,M,0-20000
298,10604,2010000003705,0,18-34,M,0-20000
299,10700,2010000003705,0,18-34,M,0-20000
300,10700,2010000003705,1,18-34,M,<=0
301,10800,2010000003705,0,18-34,M,<=0
302,10900,2010000003705,0,18-34,M,0-20000
303,10900,2010000003705,1,18-34,M,<=0
304,11000,2010000003705,0,18-34,M,0-20000
305,11100,2010000003705,0,18-34,M,0-20000
306,200,2010000003705,0,18-34,M,0-20000
307,301,2010000003705,0,18-34,M,100000+
308,302,2010000003705,0,18-34,M,20000-40000
309,401,2010000003705,0,18-34,M,20000-40000
310,402,2010000003705,0,18-34,M,0-20000
311,500,2010000003705,0,18-34,M,<=0
312,700,2010000003705,0,18-34,M,0-20000
313,800,2010000003705,0,18-34,M,20000-40000
314,901,2010000003705,0,18-34,M,0-20000
315,902,2010000003705,0,18-34,M,20000-40000
316,902,2010000003705,1,18-34,M,<=0
317,1000,2010000003705,0,18-34,M,20000-40000
318,1100,2010000003705,0,18-34,M,0-20000
319,1201,2010000003705,0,18-34,M,0-20000
320,1201,2010000003705,1,18-34,M,0-20000
321,1203,2010000003705,0,18-34,M,0-20000
322,1204,2010000003705,0,18-34,M,0-20000
323,1205,2010000003705,0,18-34,M,20000-40000
324,1205,2010000003705,1,18-34,M,0-20000
325,1206,2010000003705,0,18-34,M,0-20000
326,1301,2010000003705,0,18-34,M,<=0
327,1301,2010000003705,1,18-34,M,<=0
328,1302,2010000003705,0,18-34,M,<=0
329,1400,2010000003705,0,18-34,M,0-20000
330,5300,2010000003705,0,18-34,M,<=0
331,5401,2010000003705,0,18-34,M,20000-40000
332,5402,2010000003705,0,18-34,M,0-20000
333,5500,2010000003705,0,18-34,M,0-20000
334,5600,2010000003705,0,18-34,M,<=0
335,5600,2010000003705,1,18-34,M,<=0
336,5701,2010000003705,0,18-34,M,0-20000
337,5702,2010000003705,0,18-34,M,<=0
338,5800,2010000003705,0,18-34,M,0-20000
339,5900,2010000003705,0,18-34,M,40000-80000
340,6000,2010000003705,0,18-34,M,0-20000
341,10100,2010000003705,0,18-34,M,0-20000
342,10204,2010000003705,0,18-34,M,40000-80000
343,10300,2010000003705,0,18-34,M,0-20000
344,10400,2010000003705,0,18-34,M,0-20000
345,10500,2010000003705,0,18-34,M,0-20000
346,10601,2010000003705,0,18-34,M,<=0
347,10603,2010000003705,0,18-34,M,40000-80000
348,10603,2010000003705,1,18-34,M,0-20000
349,10604,2010000003705,0,18-34,M,0-20000
350,10700,2010000003705,0,18-34,M,<=0
351,10700,2010000003705,1,18-34,M,40000-80000
352,10800,2010000003705,0,18-34,M,0-20000
353,10900,2010000003705,0,18-34,M,0-20000
354,10900,2010000003705,1,18-34,M,0-20000
355,11000,2010000003705,0,18-34,M,<=0
356,11100,2010000003705,0,18-34,M,0-20000
357,200,2010000003705,0,18-34,M,0-20000
358,301,2010000003705,0,18-34,M,0-20000
359,302,2010000003705,0,18-34,M,0-20000
360,401,2010000003705,0,18-34,M,0-20000
361,402,2010000003705,0,18-34,M,20000-40000
362,500,2010000003705,0,18-34,M,0-20000
363,700,2010000003705,0,18-34,M,0-20000
364,800,2010000003705,0,18-34,M,0-20000
365,901,2010000003705,0,18-34,M,0-20000
366,902,2010000003705,0,18-34,M,0-20000
367,902,2010000003705,1,18-34,M,20000-40000
368,1000,2010000003705,0,18-34,M,100000+
369,1100,2010000003705,0,18-34,M,0-20000
370,1201,2010000003705,0,18-34,M,0-20000
371,1201,2010000003705,1,18-34,M,0-20000
372,1203,2010000003705,0,18-34,M,20000-40000
373,1204,2010000003705,0,18-34,M,20000-40000
374,1205,2010000003705,0,18-34,M,0-20000
375,1205,2010000003705,1,18-34,M,0-20000
376,1206,2010000003705,0,18-34,M,0-20000
377,1301,2010000003705,0,18-34,M,0-20000
378,1301,2010000003705,1,18-34,M,0-20000
379,1302,2010000003705,0,18-34,M,0-20000
380,1400,2010000003705,0,18-34,M,20000-40000
381,5300,2010000003705,0,18-34,M,0-20000
382,5401,2010000003705,0,18-34,M,0-20000
383,5402,2010000003705,0,18-34,M,20000-40000
384,5500,2010000003705,0,18-34,M,<=0
385,5600,2010000003705,0,18-34,M,0-20000
386,5600,2010000003705,1,18-34,M,20000-40000
387,5701,2010000003705,0,18-34,M,<=0
388,5702,2010000003705,0,18-34,M,20000-40000
389,5800,2010000003705,0,18-34,M,0-20000
390,5900,2010000003705,0,18-34,M,40000-80000
391,6000,2010000003705,0,18-34,M,40000-80000
392,10100,2010000003705,0,18-34,M,20000-40000
393,10204,2010000003705,0,18-34,M,0-20000
394,10300,2010000003705,0,18-34,M,0-20000
395,10400,2010000003705,0,18-34,M,0-20000
396,10500,2010000003705,0,18-34,M,0-20000
397,10601,2010000003705,0,18-34,M,0-20000
398,10603,2010000003705,0,18-34,M,0-20000
399,10603,2010000003705,1,18-34,M,<=0
400,10604,2010000003705,0,18-34,M,0-20000
401,10700,2010000003705,0,18-34,M,0-20000
402,10700,2010000003705,1,18-34,M,0-20000
403,10800,2010000003705,0,18-34,M,40000-80000
404,10900,2010000003705,0,18-34,M,<=0
405,10900,2010000003705,1,18-34,M,0-20000
406,11000,2010000003705,0,18-34,M,<=0
407,11100,2010000003705,0,18-34,M,<=0
408,200,2010000003705,0,18-34,M,0-20000
409,301,2010000003705,0,18-34,M,0-20000
410,302,2010000003705,0,18-34,M,40000-80000
411,401,2010000003705,0,18-34,M,0-20000
412,402,2010000003705,0,18-34,M,0-20000
413,500,2010000003705,0,18-34,M,20000-40000
414,700,2010000003705,0,18-34,M,20000-40000
415,800,2010000003705,0,18-34,M,20000-40000
416,901,2010000003705,0,18-34,M,0-20000
417,902,2010000003705,0,18-34,M,0-20000
418,902,2010000003705,1,18-34,M,<=0
419,1000,2010000003705,0,18-34,M,<=0
420,1100,2010000003705,0,18-34,M,0-20000
421,1201,2010000003705,0,18-34,M,20000-40000
422,1201,2010000003705,1,18-34,M,0-20000
423,1203,2010000003705,0,18-34,M,20000-40000
424,1204,2010000003705,0,18-34,M,<=0
425,1205,2010000003705,0,18-34,M,0-20000
426,1205,2010000003705,1,18-34,M,40000-80000
427,1206,2010000003705,0,18-34,M,0-20000
428,1301,2010000003705,0,18-34,M,0-20000
429,1301,2010000003705,1,18-34,M,<=0
430,1302,2010000003705,0,18-34,M,0-20000
431,1400,2010000003705,0,18-34,M,20000-40000
432,5300,2010000003705,0,18-34,M,0-20000
433,5401,2010000003705,0,18-34,M,0-20000
434,5402,2010000003705,0,18-34,M,0-20000
435,5500,2010000003705,0,18-34,M,<=0
436,5600,2010000003705,0,18-34,M,<=0
437,5600,2010000003705,1,18-34,M,0-20000
438,5701,2010000003705,0,18-34,M,20000-40000
439,5702,2010000003705,0,18-34,M,0-20000
440,5800,2010000003705,0,18-34,M,0-20000
441,5900,2010000003705,0,18-34,M,0-20000
442,6000,2010000003705,0,18-34,M,20000-40000
443,10100,2010000003705,0,18-34,M,<=0
444,10204,2010000003705,0,18-34,M,0-20000
445,10300,2010000003705,0,18-34,M,<=0
446,10400,2010000003705,0,18-34,M,<=0
447,10500,2010000003705,0,18-34,M,0-20000
448,10601,2010000003705,0,18-34,M,<=0
449,10603,2010000003705,0,18-34,M,<=0
450,10603,2010000003705,1,18-34,M,40000-80000
451,10604,2010000003705,0,18-34,M,<=0
452,10700,2010000003705,0,18-34,M,<=0
453,10700,2010000003705,1,18-34,M,0-20000
454,10800,2010000003705,0,18-34,M,0-20000
455,10900,2010000003705,0,18-34,M,<=0
456,10900,2010000003705,1,18-34,M,0-20000
457,11000,2010000003705,0,18-34,M,0-20000
458,11100,2010000003705,0,18-34,M,0-20000
459,1201,2010000003960,0,35-64,M,100000+
460,1301,2010000003960,0,35-64,M,100000+
461,10603,2010000003960,0,35-64,M,40000-80000
462,10700,2010000003960,0,35-64,M,20000-40000
463,10900,2010000003960,0,35-64,M,40000-80000
464,1201,2010000003960,0,35-64,M,0-20000
465,1301,2010000003960,0,35-64,M,20000-40000
466,10603,2010000003960,0,35-64,M,20000-40000
467,10700,2010000003960,0,35-64,M,20000-40000
468,10900,2010000003960,0,35-64,M,80000-100000
469,301,2010000011119,0,18-34,F,0-20000
470,302,2010000011119,0,18-34,F,40000-80000
471,402,2010000011119,0,18-34,F,0-20000
472,500,2010000011119,0,18-34,F,0-20000
473,700,2010000011119,0,18-34,F,<=0
474,800,2010000011119,0,18-34,F,<=0
475,901,2010000011119,0,18-34,F,20000-40000
476,902,2010000011119,0,18-34,F,0-20000
477,1000,2010000011119,0,18-34,F,0-20000
478,1100,2010000011119,0,18-34,F,0-20000
479,1201,2010000011119,0,18-34,F,0-20000
480,1203,2010000011119,0,18-34,F,0-20000
481,1204,2010000011119,0,18-34,F,0-20000
482,1205,2010000011119,0,18-34,F,0-20000
483,1301,2010000011119,0,18-34,F,<=0
484,1302,2010000011119,0,18-34,F,0-20000
485,1400,2010000011119,0,18-34,F,20000-40000
486,5300,2010000011119,0,18-34,F,0-20000
487,5401,2010000011119,0,18-34,F,<=0
488,5402,2010000011119,0,18-34,F,0-20000
489,5500,2010000011119,0,18-34,F,<=0
490,5600,2010000011119,0,18-34,F,0-20000
491,5701,2010000011119,0,18-34,F,0-20000
492,5702,2010000011119,0,18-34,F,0-20000
493,5800,2010000011119,0,18-34,F,<=0
494,5900,2010000011119,0,18-34,F,0-20000
495,10100,2010000011119,0,18-34,F,0-20000
496,10204,2010000011119,0,18-34,F,0-20000
497,10300,2010000011119,0,18-34,F,0-20000
498,10400,2010000011119,0,18-34,F,<=0
499,10500,2010000011119,0,18-34,F,<=0
500,10601,2010000011119,0,18-34,F,0-20000
501,10603,2010000011119,0,18-34,F,20000-40000
502,10604,2010000011119,0,18-34,F,20000-40000
503,10700,2010000011119,0,18-34,F,<=0
504,10800,2010000011119,0,18-34,F,0-20000
505,10900,2010000011119,0,18-34,F,0-20000
506,11000,2010000011119,0,18-34,F,<=0
507,11100,2010000011119,0,18-34,F,0-20000
508,301,2010000011119,0,35-64,M,100000+
509,302,2010000011119,0,35-64,M,<=0
510,402,2010000011119,0,35-64,M,<=0
511,500,2010000011119,0,35-64,M,0-20000
512,700,2010000011119,0,35-64,M,80000-100000
513,800,2010000011119,0,35-64,M,20000-40000
514,901,2010000011119,0,35-64,M,100000+
515,902,2010000011119,0,35-64,M,40000-80000
516,1000,2010000011119,0,35-64,M,40000-80000
517,1100,2010000011119,0,35-64,M,100000+
518,1201,2010000011119,0,35-64,M,40000-80000
519,1203,2010000011119,0,35-64,M,20000-40000
520,1204,2010000011119,0,35-64,M,80000-100000
521,1205,2010000011119,0,35-64,M,0-20000
522,1301,2010000011119,0,35-64,M,40000-80000
523,1302,2010000011119,0,35-64,M,20000-40000
524,1400,2010000011119,0,35-64,M,<=0
525,5300,2010000011119,0,35-64,M,40000-80000
526,5401,2010000011119,0,35-64,M,40000-80000
527,5402,2010000011119,0,35-64,M,100000+
528,5500,2010000011119,0,35-64,M,20000-40000
529,5600,2010000011119,0,35-64,M,<=0
530,5701,2010000011119,0,35-64,M,0-20000
531,5702,2010000011119,0,35-64,M,40000-80000
532,5800,2010000011119,0,35-64,M,20000-40000
533,5900,2010000011119,0,35-64,M,<=0
534,10100,2010000011119,0,35-64,M,20000-40000
535,10204,2010000011119,0,35-64,M,40000-80000
536,10300,2010000011119,0,35-64,M,80000-100000
537,10400,2010000011119,0,35-64,M,20000-40000
538,10500,2010000011119,0,35-64,M,100000+
539,10601,2010000011119,0,35-64,M,<=0
540,10603,2010000011119,0,35-64,M,<=0
541,10604,2010000011119,0,35-64,M,100000+
542,10700,2010000011119,0,35-64,M,100000+
543,10800,2010000011119,0,35-64,M,<=0
544,10900,2010000011119,0,35-64,M,20000-40000
545,11000,2010000011119,0,35-64,M,<=0
546,11100,2010000011119,0,35-64,M,<=0
547,200,2010000013619,0,18-34,M,<=0
548,301,2010000013619,0,18-34,M,40000-80000
549,302,2010000013619,0,18-34,M,0-20000
550,402,2010000013619,0,18-34,M,0-20000
551,500,2010000013619,0,18-34,M,40000-80000
552,700,2010000013619,0,18-34,M,0-20000
553,800,2010000013619,0,18-34,M,0-20000
554,901,2010000013619,0,18-34,M,0-20000
555,902,2010000013619,0,18-34,M,0-20000
556,1000,2010000013619,0,18-34,M,80000-100000
557,1100,2010000013619,0,18-34,M,<=0
558,1201,2010000013619,0,18-34,M,0-20000
559,1203,2010000013619,0,18-34,M,<=0
560,1204,2010000013619,0,18-34,M,20000-40000
561,1205,2010000013619,0,18-34,M,<=0
562,1206,2010000013619,0,18-34,M,0-20000
563,1301,2010000013619,0,18-34,M,0-20000
564,1302,2010000013619,0,18-34,M,0-20000
565,1400,2010000013619,0,18-34,M,<=0
566,5300,2010000013619,0,18-34,M,20000-40000
567,5401,2010000013619,0,18-34,M,0-20000
568,5402,2010000013619,0,18-34,M,<=0
569,5500,2010000013619,0,18-34,M,40000-80000
570,5600,2010000013619,0,18-34,M,0-20000
571,5701,2010000013619,0,18-34,M,0-20000
572,5702,2010000013619,0,18-34,M,<=0
573,5800,2010000013619,0,18-34,M,0-20000
574,5900,2010000013619,0,18-34,M,80000-100000
575,10100,2010000013619,0,18-34,M,0-20000
576,10204,2010000013619,0,18-34,M,0-20000
577,10300,2010000013619,0,18-34,M,0-20000
578,10400,2010000013619,0,18-34,M,0-20000
579,10500,2010000013619,0,18-34,M,<=0
580,10601,2010000013619,0,18-34,M,0-20000
581,10603,2010000013619,0,18-34,M,40000-80000
582,10604,2010000013619,0,18-34,M,0-20000
583,10700,2010000013619,0,18-34,M,20000-40000
584,10800,2010000013619,0,18-34,M,0-20000
585,10900,2010000013619,0,18-34,M,0-20000
